,parent_folder,size
0,F:\Games\World_of_Warships\res_packages,57.9 GB
1,F:\Games\Wargaming.net\GameCenter\dlls,221.0 MB
2,F:\Games\World_of_Warships\profile\cef_cache\Cache,215.44 MB
3,F:\Games\World_of_Warships\bin\4462593\bin64\cef,130.14 MB
4,F:\Games\World_of_Warships\bin\4610639\bin64\cef,129.87 MB
5,F:\Games\World_of_Warships\bin\4462593\bin32\cef,113.58 MB
6,F:\Games\World_of_Warships\bin\4610639\bin32\cef,113.39 MB
7,F:\Games\Wargaming.net\GameCenter\cache\Cache,70.05 MB
8,F:\Games\World_of_Warships\replays,56.24 MB
9,F:\Games\World_of_Warships\lib,52.24 MB
10,F:\Games\World_of_Warships\bin\4462593\bin64,48.15 MB
11,F:\Games\World_of_Warships\bin\4610639\bin64,48.15 MB
12,F:\Games\World_of_Warships\bin\4610639\res,43.0 MB
13,F:\Games\World_of_Warships\bin\4462593\res,42.79 MB
14,F:\Games\World_of_Warships\bin\4462593\res_mods\gui\flash,42.63 MB
15,F:\Games\World_of_Warships\bin\4610639\res_mods\gui\flash,42.63 MB
16,F:\Games\World_of_Warships\bin\4462593\bin32,41.3 MB
17,F:\Games\World_of_Warships\bin\4610639\bin32,41.29 MB
18,F:\Games\World_of_Warships\screenshot,31.87 MB
19,F:\Games\World_of_Warships\bin\4610639\idx,30.53 MB
20,F:\Games\World_of_Warships\bin\4462593\idx,30.05 MB
21,F:\Games\Wargaming.net\GameCenter\dlls\locales,17.47 MB
22,F:\Games\World_of_Warships\bin\4462593\bin32\cef\locales,13.7 MB
23,F:\Games\World_of_Warships\bin\4462593\bin64\cef\locales,13.7 MB
24,F:\Games\World_of_Warships\bin\4610639\bin64\cef\locales,13.7 MB
25,F:\Games\World_of_Warships\bin\4610639\bin32\cef\locales,13.7 MB
26,F:\Games\Wargaming.net\GameCenter,10.77 MB
27,F:\Games\World_of_Warships\profile,10.55 MB
28,F:\Games\World_of_Warships,8.11 MB
29,F:\Games\World_of_Warships\profile\cef_cache\IndexedDB\https_armory.worldofwarships.com_0.indexeddb.leveldb,5.44 MB
30,F:\Games\World_of_Warships\bin\4610639\res\texts\th\LC_MESSAGES,5.2 MB
31,F:\Games\World_of_Warships\bin\4462593\res\texts\th\LC_MESSAGES,5.13 MB
32,F:\Games\World_of_Warships\profile\cef_cache\GPUCache,4.91 MB
33,F:\Games\World_of_Warships\bin\4610639\res\texts\ru\LC_MESSAGES,4.23 MB
34,F:\Games\World_of_Warships\bin\4462593\res\texts\ru\LC_MESSAGES,4.17 MB
35,F:\Games\World_of_Warships\bin\4610639\res\texts\uk\LC_MESSAGES,4.17 MB
36,F:\Games\Wargaming.net\GameCenter\logs,4.15 MB
37,F:\Games\World_of_Warships\bin\4462593\res\texts\uk\LC_MESSAGES,4.11 MB
38,F:\Games\World_of_Warships\WGCheck,3.94 MB
39,F:\Games\World_of_Warships\profile\cef_cache\Local Storage\leveldb,3.51 MB
40,F:\Games\World_of_Warships\bin\4610639\res\texts\fr\LC_MESSAGES,3.43 MB
41,F:\Games\World_of_Warships\bin\4610639\res\texts\de\LC_MESSAGES,3.38 MB
42,F:\Games\World_of_Warships\bin\4462593\res\texts\fr\LC_MESSAGES,3.38 MB
43,F:\Games\World_of_Warships\bin\4610639\res\texts\ja\LC_MESSAGES,3.37 MB
44,F:\Games\World_of_Warships\bin\4462593\res\texts\de\LC_MESSAGES,3.34 MB
45,F:\Games\World_of_Warships\bin\4610639\res\texts\es_mx\LC_MESSAGES,3.33 MB
46,F:\Games\World_of_Warships\bin\4610639\res\texts\es\LC_MESSAGES,3.33 MB
47,F:\Games\World_of_Warships\bin\4462593\res\texts\ja\LC_MESSAGES,3.32 MB
48,F:\Games\World_of_Warships\bin\4610639\res\texts\it\LC_MESSAGES,3.31 MB
49,F:\Games\World_of_Warships\bin\4462593\res\texts\es_mx\LC_MESSAGES,3.28 MB
50,F:\Games\World_of_Warships\bin\4610639\res\texts\nl\LC_MESSAGES,3.28 MB
51,F:\Games\World_of_Warships\bin\4462593\res\texts\es\LC_MESSAGES,3.28 MB
52,F:\Games\World_of_Warships\bin\4610639\res\texts\pt_br\LC_MESSAGES,3.27 MB
53,F:\Games\World_of_Warships\bin\4610639\res\texts\pt\LC_MESSAGES,3.27 MB
54,F:\Games\World_of_Warships\bin\4610639\res\texts\cs\LC_MESSAGES,3.27 MB
55,F:\Games\World_of_Warships\bin\4462593\res\texts\it\LC_MESSAGES,3.27 MB
56,F:\Games\World_of_Warships\bin\4610639\res\texts\pl\LC_MESSAGES,3.24 MB
57,F:\Games\World_of_Warships\bin\4462593\res\texts\nl\LC_MESSAGES,3.23 MB
58,F:\Games\World_of_Warships\bin\4462593\res\texts\pt_br\LC_MESSAGES,3.23 MB
59,F:\Games\World_of_Warships\bin\4462593\res\texts\pt\LC_MESSAGES,3.23 MB
60,F:\Games\World_of_Warships\bin\4462593\res\texts\cs\LC_MESSAGES,3.22 MB
61,F:\Games\World_of_Warships\bin\4610639\res\texts\tr\LC_MESSAGES,3.21 MB
62,F:\Games\World_of_Warships\bin\4462593\res\texts\pl\LC_MESSAGES,3.19 MB
63,F:\Games\Wargaming.net\GameCenter\dlls\swiftshader,3.19 MB
64,F:\Games\World_of_Warships\bin\4462593\res\texts\tr\LC_MESSAGES,3.16 MB
65,F:\Games\World_of_Warships\bin\4610639\res\texts\en\LC_MESSAGES,3.14 MB
66,F:\Games\World_of_Warships\bin\4610639\res\texts\ko\LC_MESSAGES,3.11 MB
67,F:\Games\World_of_Warships\bin\4462593\res\texts\en\LC_MESSAGES,3.09 MB
68,F:\Games\World_of_Warships\bin\4462593\res\texts\ko\LC_MESSAGES,3.07 MB
69,F:\Games\World_of_Warships\bin\4610639\res\texts\zh_tw\LC_MESSAGES,2.94 MB
70,F:\Games\World_of_Warships\bin\4610639\res\texts\zh_sg\LC_MESSAGES,2.93 MB
71,F:\Games\World_of_Warships\bin\4610639\res\texts\zh\LC_MESSAGES,2.92 MB
72,F:\Games\World_of_Warships\bin\4462593\res\texts\zh_tw\LC_MESSAGES,2.9 MB
73,F:\Games\World_of_Warships\bin\4462593\res\texts\zh\LC_MESSAGES,2.89 MB
74,F:\Games\World_of_Warships\bin\4462593\res\texts\zh_sg\LC_MESSAGES,2.89 MB
75,F:\Games\World_of_Warships\bin\4610639\bin64\cef\swiftshader,2.71 MB
76,F:\Games\World_of_Warships\bin\4462593\bin64\cef\swiftshader,2.71 MB
77,F:\Games\World_of_Warships\bin\4610639\bin32\cef\swiftshader,2.28 MB
78,F:\Games\World_of_Warships\bin\4462593\bin32\cef\swiftshader,2.28 MB
79,F:\Games\World_of_Warships\lib\platforms,1.4 MB
80,F:\Games\Wargaming.net\GameCenter\cache\Code Cache\js,1.37 MB
81,F:\Games\Wargaming.net\GameCenter\dlls\plugins\platforms,970.02 KB
82,F:\Games\Wargaming.net\GameCenter\wgc_api,933.44 KB
83,F:\Games\World_of_Warships\game_metadata,765.37 KB
